Date,0
2024-07-17,1000000.0
2024-07-18,1000000.0
2024-07-19,1000000.0
2024-07-22,1000000.0
2024-07-23,1000000.0
2024-07-24,1000000.0
2024-07-25,1000000.0
2024-07-26,1000000.0
2024-07-29,1000000.0
2024-07-30,1000000.0
2024-07-31,1000000.0
2024-08-01,1000000.0
2024-08-02,1000000.0
2024-08-05,1000767.4503147948
2024-08-06,1001557.8568733365
2024-08-07,1002842.6702388687
2024-08-08,1002766.9277793599
2024-08-09,1002766.9277793599
2024-08-12,1002766.9277793599
2024-08-13,1002766.9277793599
2024-08-14,1002766.9277793599
2024-08-15,1002766.9277793599
2024-08-16,1002766.9277793599
2024-08-19,1002766.9277793599
2024-08-20,1002766.9277793599
2024-08-21,1002766.9277793599
2024-08-22,1002720.4299831594
2024-08-23,1003044.2101825456
2024-08-26,1003600.8137923409
2024-08-27,1003353.089340772
2024-08-28,1002766.1322177441
2024-08-29,1002540.1366659934
2024-08-30,1002434.852892522
2024-09-03,1002381.2271622687
2024-09-04,1002500.428617969
2024-09-05,1002315.8181341834
2024-09-06,1003674.0667800503
2024-09-09,1003193.7188950743
2024-09-10,1005806.8410103658
2024-09-11,1005402.3680087742
2024-09-12,1003670.7257654582
2024-09-13,1004736.1760516216
2024-09-16,1005611.0867666506
2024-09-17,1008352.7055151267
2024-09-18,1010576.8173494237
2024-09-19,1011818.8660651499
2024-09-20,1012391.3744323396
2024-09-23,1011757.7474182049
2024-09-24,1010692.3914149785
2024-09-25,1008867.567619232
2024-09-26,1010772.8098862175
2024-09-27,1012027.4671503919
2024-09-30,1013056.9463412409
2024-10-01,1013484.3223069188
2024-10-02,1014519.5448336508
2024-10-03,1015568.9905698774
2024-10-04,1015138.096073157
2024-10-07,1015741.1012465864
2024-10-08,1015091.6797442258
2024-10-09,1016562.9669598722
2024-10-10,1017993.8611663894
2024-10-11,1022752.6865562744
2024-10-14,1025864.4753706033
2024-10-15,1032312.2229163804
2024-10-16,1030815.3518528007
2024-10-17,1030394.8044674871
2024-10-18,1030294.0595067494
2024-10-21,1031694.3884943543
2024-10-22,1037173.317287332
2024-10-23,1037337.2108437538
2024-10-24,1028243.4473665556
2024-10-25,1034599.460479041
2024-10-28,1037457.9853661258
2024-10-29,1035945.4475376239
2024-10-30,1037154.6790347393
2024-10-31,1039139.9332928797
2024-11-01,1041524.0892854434
2024-11-04,1037364.6310102287
2024-11-05,1037164.6488773294
2024-11-06,1042703.4075710446
2024-11-07,1048844.2420572003
2024-11-08,1047118.382967497
2024-11-11,1048116.5241624297
2024-11-12,1047058.6798860622
2024-11-13,1045781.2586710724
2024-11-14,1047329.6993242829
2024-11-15,1048771.5781693931
2024-11-18,1047695.6060955698
2024-11-19,1047695.6060955698
2024-11-20,1047695.6060955698
2024-11-21,1047695.6060955698
2024-11-22,1047695.6060955698
2024-11-25,1047695.6060955698
2024-11-26,1049423.2966375311
2024-11-27,1050329.939078855
2024-11-29,1051282.3332080399
2024-12-02,1049728.2270438138
2024-12-03,1049728.2270438138
2024-12-04,1049728.2270438138
2024-12-05,1049728.2270438138
2024-12-06,1047932.1100474407
2024-12-09,1048150.9381217366
2024-12-10,1047643.1693955286
2024-12-11,1045149.7420321684
2024-12-12,1047949.2208835946
2024-12-13,1050434.9111477062
2024-12-16,1047591.2230167243
2024-12-17,1048884.6603261076
2024-12-18,1052534.8638553808
2024-12-19,1055986.4385187393
2024-12-20,1055687.7502555847
2024-12-23,1059025.6470038088
2024-12-24,1060218.1270104977
2024-12-26,1059514.5021772827
2024-12-27,1060882.7038149429
2024-12-30,1059274.1150628282
2024-12-31,1058219.5396198551
2025-01-02,1061288.6833340335
2025-01-03,1061965.99163344
2025-01-06,1067311.655080407
2025-01-07,1066272.795633671
2025-01-08,1064368.3840623423
2025-01-10,1068107.8314995775
2025-01-13,1071800.4463975169
2025-01-14,1070629.3217493875
2025-01-15,1070629.3217493875
2025-01-16,1070629.3217493875
2025-01-17,1070629.3217493875
2025-01-21,1070629.3217493875
2025-01-22,1070629.3217493875
2025-01-23,1068219.8528310417
2025-01-24,1067659.6654060648
2025-01-27,1070342.423208965
2025-01-28,1075277.0934504846
2025-01-29,1075423.4873316106
2025-01-30,1073194.9885064678
2025-01-31,1072864.4213807685
2025-02-03,1071446.214624607
2025-02-04,1072060.1716356308
2025-02-05,1077752.0866310974
2025-02-06,1079746.1399353778
2025-02-07,1081182.0937957868
2025-02-10,1079777.9809645088
2025-02-11,1081761.6502333398
2025-02-12,1087060.2816030546
2025-02-13,1081955.3943717545
2025-02-14,1080945.9872748917
2025-02-18,1081966.2336933527
2025-02-19,1081523.22972773
2025-02-20,1079543.1556880926
2025-02-21,1082514.8525563397
2025-02-24,1083513.0916316325
2025-02-25,1084129.2551056754
2025-02-26,1086038.5792232896
2025-02-27,1082912.7761476038
2025-02-28,1085361.9049466809
2025-03-03,1087304.8459095173
2025-03-04,1088686.0469278372
2025-03-05,1095779.9123242435
2025-03-06,1089626.312901345
2025-03-07,1088637.8706011972
2025-03-10,1093096.261052206
2025-03-11,1102836.241205548
2025-03-12,1103466.8492129704
2025-03-13,1106498.9739128384
2025-03-14,1104106.4219903138
2025-03-17,1106512.3834612314
2025-03-18,1104950.4621073026
2025-03-19,1104921.8393797695
2025-03-20,1105924.685376571
2025-03-21,1106109.3280506935
2025-03-24,1106978.0680216316
2025-03-25,1108047.7628331773
2025-03-26,1107038.5863682067
2025-03-27,1105329.6257963341
2025-03-28,1105010.4485192175
2025-03-31,1104693.394320932
2025-04-01,1109148.457880433
